graph_id,vertices,edges,prim_cost,kruskal_cost,prim_time_ms,kruskal_time_ms,prim_ops,kruskal_ops
1,10,45,18,18,3,01,21,27,209,386
2,15,105,30,30,0,39,0,46,466,951
3,20,190,25,25,0,49,0,47,827,1867
4,25,300,35,35,0,52,0,69,1277,2893
5,30,435,37,37,0,84,0,98,1890,4589
6,40,280,81,81,0,60,0,70,1307,2855
7,70,560,118,118,1,20,1,21,2600,6213
8,100,900,173,173,1,90,1,80,4176,9889
9,130,1170,249,249,2,09,1,98,5427,14052
10,160,1600,259,259,3,05,2,54,7164,19053
11,190,1900,348,348,3,99,3,19,8669,22626
12,220,2200,395,395,3,53,2,35,9952,26224
13,250,2750,408,408,3,76,2,75,12699,32535
14,280,3080,477,477,5,45,3,21,13814,39528
15,290,3190,483,483,4,22,3,38,14506,40943
16,100,300,413,413,0,63,0,44,1674,3596
17,200,600,828,828,0,85,0,59,3326,7821
18,300,900,1350,1350,1,41,0,92,5382,11797
19,400,1200,1766,1766,1,27,1,24,7182,16889
20,500,1500,2285,2285,1,22,1,66,8755,21117
21,600,1800,2678,2678,1,60,2,28,10725,25374
22,700,2100,2988,2988,1,97,2,34,12388,29621
23,800,2400,3687,3687,2,51,2,78,14393,33843
24,900,2700,4072,4072,3,14,4,77,16107,38073
25,990,2970,4494,4494,3,08,4,45,17707,41860
26,1300,3900,5860,5860,4,00,6,26,23323,58846
27,1600,4800,7009,7009,5,49,5,95,28435,72441
28,2000,6000,8989,8989,7,06,7,03,35951,90717
